iter	Passed	Remaining
0	67	67202
1	74	37185
2	78	25986
3	82	20451
4	86	17192
5	90	14949
6	95	13598
7	100	12488
8	107	11791
9	111	11003
10	116	10517
11	122	10101
12	127	9684
13	131	9265
14	135	8914
15	139	8575
16	144	8376
17	150	8213
18	156	8064
19	159	7835
20	167	7794
21	174	7756
22	178	7574
23	182	7405
24	186	7274
25	191	7158
26	198	7157
27	202	7036
28	207	6932
29	210	6817
30	216	6756
31	220	6673
32	226	6630
33	228	6485
34	232	6405
35	236	6322
36	240	6257
37	248	6289
38	256	6310
39	263	6333
40	268	6290
41	275	6278
42	279	6224
43	305	6640
44	310	6596
45	318	6612
46	325	6595
47	332	6599
48	336	6530
49	339	6443
50	341	6363
51	345	6302
52	349	6247
53	352	6176
54	355	6103
55	358	6036
56	360	5968
57	363	5907
58	367	5854
59	370	5797
60	372	5736
61	374	5668
62	376	5603
63	378	5539
64	380	5477
65	382	5416
66	385	5364
67	387	5314
68	390	5272
69	393	5227
70	396	5182
71	398	5130
72	400	5087
73	403	5044
74	405	4998
75	407	4958
76	411	4927
77	413	4886
78	415	4842
79	418	4811
80	421	4777
81	423	4737
82	425	4698
83	427	4659
84	429	4621
85	431	4584
86	433	4549
87	435	4516
88	438	4492
89	441	4463
90	443	4429
91	445	4400
92	448	4375
93	451	4353
94	454	4327
95	456	4296
96	458	4267
97	461	4246
98	464	4226
99	468	4212
100	470	4188
101	472	4160
102	474	4133
103	476	4105
104	478	4079
105	480	4053
106	482	4027
107	496	4103
108	503	4117
109	506	4099
110	508	4073
111	511	4052
112	514	4035
113	516	4015
114	518	3993
115	520	3969
116	523	3948
117	525	3927
118	527	3905
119	529	3882
120	531	3860
121	534	3844
122	536	3828
123	539	3810
124	541	3790
125	543	3771
126	546	3755
127	548	3735
128	550	3719
129	553	3706
130	556	3693
131	559	3679
132	562	3666
133	565	3656
134	567	3638
135	569	3620
136	571	3602
137	573	3585
138	575	3567
139	577	3550
140	579	3533
141	582	3520
142	585	3509
143	588	3498
144	591	3484
145	592	3468
146	595	3457
147	598	3444
148	601	3433
149	603	3421
150	606	3411
151	609	3403
152	613	3396
153	616	3386
154	618	3372
155	620	3357
156	622	3343
157	624	3329
158	626	3315
159	628	3300
160	631	3291
161	634	3281
162	637	3272
163	639	3259
164	641	3246
165	643	3234
166	646	3224
167	649	3215
168	652	3207
169	654	3195
170	656	3183
171	659	3176
172	662	3166
173	665	3157
174	667	3144
175	669	3132
176	671	3120
177	673	3108
178	675	3096
179	677	3085
180	681	3081
181	683	3072
182	687	3071
183	692	3069
184	695	3066
185	699	3059
186	701	3048
187	704	3044
188	707	3035
189	710	3028
190	712	3018
191	714	3008
192	717	2998
193	719	2989
194	721	2978
195	723	2968
196	725	2957
197	728	2950
198	730	2940
199	732	2930
200	735	2922
201	737	2912
202	739	2903
203	742	2896
204	748	2902
205	751	2896
206	753	2886
207	756	2878
208	758	2871
209	760	2861
210	762	2852
211	767	2851
212	769	2843
213	771	2833
214	773	2825
215	777	2821
216	779	2812
217	781	2804
218	785	2800
219	787	2793
220	789	2784
221	792	2776
222	794	2768
223	796	2759
224	798	2751
225	800	2743
226	802	2734
227	805	2728
228	807	2719
229	810	2711
230	812	2703
231	814	2694
232	816	2688
233	818	2680
234	820	2671
235	822	2663
236	825	2657
237	828	2652
238	830	2644
239	832	2636
240	835	2630
241	837	2622
242	839	2614
243	841	2607
244	844	2601
245	847	2596
246	849	2591
247	852	2584
248	854	2578
249	857	2572
250	859	2564
251	861	2557
252	863	2549
253	865	2542
254	867	2535
255	869	2527
256	871	2520
257	874	2515
258	877	2511
259	881	2508
260	884	2503
261	887	2498
262	889	2493
263	891	2486
264	894	2481
265	897	2476
266	899	2469
267	901	2462
268	903	2455
269	906	2449
270	912	2454
271	917	2454
272	921	2454
273	924	2449
274	927	2444
275	929	2438
276	931	2432
277	934	2427
278	936	2421
279	939	2416
280	942	2411
281	954	2428
282	958	2428
283	962	2427
284	966	2425
285	972	2426
286	976	2424
287	980	2423
288	984	2422
289	992	2429
290	997	2429
291	1001	2427
292	1004	2423
293	1006	2417
294	1009	2412
295	1013	2411
296	1018	2410
297	1026	2418
298	1031	2418
299	1036	2418
300	1040	2416
301	1045	2415
302	1049	2415
303	1052	2410
304	1055	2406
305	1057	2399
306	1060	2393
307	1062	2386
308	1064	2380
309	1066	2373
310	1069	2368
311	1071	2362
312	1073	2355
313	1076	2351
314	1079	2346
315	1082	2342
316	1085	2338
317	1087	2331
318	1089	2325
319	1092	2321
320	1095	2316
321	1097	2311
322	1100	2305
323	1101	2299
324	1104	2293
325	1107	2289
326	1110	2284
327	1113	2282
328	1117	2278
329	1119	2273
330	1122	2267
331	1124	2263
332	1128	2259
333	1130	2254
334	1132	2248
335	1134	2242
336	1137	2237
337	1139	2231
338	1141	2226
339	1144	2222
340	1146	2216
341	1149	2211
342	1151	2206
343	1153	2200
344	1155	2194
345	1157	2188
346	1160	2182
347	1161	2177
348	1164	2171
349	1166	2167
350	1169	2161
351	1171	2156
352	1173	2151
353	1176	2147
354	1179	2143
355	1182	2139
356	1184	2133
357	1186	2128
358	1189	2124
359	1192	2119
360	1195	2116
361	1198	2111
362	1200	2106
363	1202	2100
364	1204	2095
365	1206	2089
366	1208	2083
367	1210	2078
368	1212	2073
369	1215	2069
370	1217	2064
371	1219	2059
372	1225	2060
373	1227	2055
374	1229	2049
375	1234	2048
376	1238	2046
377	1242	2043
378	1245	2041
379	1247	2035
380	1249	2030
381	1251	2025
382	1254	2021
383	1269	2036
384	1274	2035
385	1277	2032
386	1281	2029
387	1284	2026
388	1289	2024
389	1291	2020
390	1293	2015
391	1295	2009
392	1297	2004
393	1299	1999
394	1302	1994
395	1304	1989
396	1306	1983
397	1308	1978
398	1311	1974
399	1313	1970
400	1315	1965
401	1317	1959
402	1320	1955
403	1322	1950
404	1324	1945
405	1326	1941
406	1329	1936
407	1331	1932
408	1334	1927
409	1336	1922
410	1338	1918
411	1342	1915
412	1344	1910
413	1346	1905
414	1348	1900
415	1350	1896
416	1352	1891
417	1354	1886
418	1356	1881
419	1358	1876
420	1361	1871
421	1363	1867
422	1365	1862
423	1367	1858
424	1370	1853
425	1372	1848
426	1374	1845
427	1377	1841
428	1380	1836
429	1382	1832
430	1384	1827
431	1387	1823
432	1390	1820
433	1392	1816
434	1394	1811
435	1396	1806
436	1398	1802
437	1400	1797
438	1402	1792
439	1404	1787
440	1406	1783
441	1409	1779
442	1411	1775
443	1414	1770
444	1417	1767
445	1419	1763
446	1421	1758
447	1423	1754
448	1425	1749
449	1429	1747
450	1435	1746
451	1443	1749
452	1447	1748
453	1452	1746
454	1456	1744
455	1463	1745
456	1469	1746
457	1478	1749
458	1486	1751
459	1490	1749
460	1494	1747
461	1498	1744
462	1501	1741
463	1503	1737
464	1506	1732
465	1509	1729
466	1511	1725
467	1513	1720
468	1516	1716
469	1519	1712
470	1521	1709
471	1524	1705
472	1527	1702
473	1529	1697
474	1532	1693
475	1534	1689
476	1538	1686
477	1540	1682
478	1542	1677
479	1544	1673
480	1546	1668
481	1548	1664
482	1550	1660
483	1552	1655
484	1555	1651
485	1558	1647
486	1560	1643
487	1562	1639
488	1564	1635
489	1567	1631
490	1570	1627
491	1572	1623
492	1574	1619
493	1577	1615
494	1579	1611
495	1581	1606
496	1584	1603
497	1586	1599
498	1588	1595
499	1590	1590
500	1592	1586
501	1594	1582
502	1596	1577
503	1599	1573
504	1601	1569
505	1603	1565
506	1605	1561
507	1607	1557
508	1610	1553
509	1612	1549
510	1614	1545
511	1617	1541
512	1619	1537
513	1622	1534
514	1625	1530
515	1627	1526
516	1629	1521
517	1631	1518
518	1633	1513
519	1635	1509
520	1637	1505
521	1640	1501
522	1642	1498
523	1644	1494
524	1646	1489
525	1648	1485
526	1650	1481
527	1653	1478
528	1655	1473
529	1657	1470
530	1659	1465
531	1661	1461
532	1664	1458
533	1667	1455
534	1670	1451
535	1672	1447
536	1674	1443
537	1677	1440
538	1679	1436
539	1681	1432
540	1683	1428
541	1685	1424
542	1687	1420
543	1689	1416
544	1691	1412
545	1693	1408
546	1695	1404
547	1697	1400
548	1700	1396
549	1704	1394
550	1706	1390
551	1709	1387
552	1711	1383
553	1713	1379
554	1716	1375
555	1718	1372
556	1720	1368
557	1722	1364
558	1724	1360
559	1726	1356
560	1729	1353
561	1732	1350
562	1734	1346
563	1736	1342
564	1738	1338
565	1741	1335
566	1743	1331
567	1745	1327
568	1747	1324
569	1750	1320
570	1752	1316
571	1754	1312
572	1757	1309
573	1759	1305
574	1761	1302
575	1763	1298
576	1766	1295
577	1768	1291
578	1771	1288
579	1773	1284
580	1776	1281
581	1784	1281
582	1787	1278
583	1790	1275
584	1792	1271
585	1796	1268
586	1799	1265
587	1802	1262
588	1805	1259
589	1808	1256
590	1812	1254
591	1814	1250
592	1817	1247
593	1819	1243
594	1821	1239
595	1823	1236
596	1826	1232
597	1829	1229
598	1831	1225
599	1833	1222
600	1835	1218
601	1837	1214
602	1839	1211
603	1841	1207
604	1843	1203
605	1847	1200
606	1849	1197
607	1852	1194
608	1854	1190
609	1856	1187
610	1859	1183
611	1861	1180
612	1863	1176
613	1865	1172
614	1868	1169
615	1870	1165
616	1872	1162
617	1874	1158
618	1877	1155
619	1879	1151
620	1881	1148
621	1884	1144
622	1887	1141
623	1889	1138
624	1891	1134
625	1893	1131
626	1895	1127
627	1897	1124
628	1900	1120
629	1903	1117
630	1905	1114
631	1908	1111
632	1911	1108
633	1914	1105
634	1916	1101
635	1919	1098
636	1921	1095
637	1924	1092
638	1945	1099
639	1953	1098
640	1956	1095
641	1959	1092
642	1961	1089
643	1965	1086
644	1969	1083
645	1972	1081
646	1975	1077
647	1977	1074
648	1979	1070
649	1982	1067
650	1983	1063
651	1986	1060
652	1988	1056
653	1990	1052
654	1994	1050
655	1998	1047
656	2000	1044
657	2003	1041
658	2005	1037
659	2008	1034
660	2010	1031
661	2012	1027
662	2015	1024
663	2018	1021
664	2020	1018
665	2023	1015
666	2025	1011
667	2028	1007
668	2030	1004
669	2032	1001
670	2035	997
671	2037	994
672	2040	991
673	2042	987
674	2044	984
675	2046	980
676	2049	977
677	2052	974
678	2055	971
679	2057	968
680	2059	964
681	2061	961
682	2064	958
683	2067	954
684	2069	951
685	2071	948
686	2073	944
687	2075	941
688	2078	937
689	2080	934
690	2082	931
691	2084	927
692	2086	924
693	2088	921
694	2091	917
695	2093	914
696	2095	911
697	2098	907
698	2101	904
699	2103	901
700	2105	898
701	2107	894
702	2110	891
703	2112	888
704	2114	884
705	2117	881
706	2119	878
707	2121	875
708	2123	871
709	2125	868
710	2127	864
711	2130	861
712	2132	858
713	2134	854
714	2136	851
715	2139	848
716	2142	845
717	2144	842
718	2146	838
719	2149	835
720	2151	832
721	2154	829
722	2156	826
723	2158	822
724	2161	819
725	2163	816
726	2166	813
727	2168	810
728	2171	807
729	2173	803
730	2175	800
731	2177	797
732	2179	793
733	2181	790
734	2183	787
735	2186	784
736	2188	781
737	2191	778
738	2194	775
739	2197	772
740	2200	768
741	2202	765
742	2205	762
743	2208	759
744	2210	756
745	2212	753
746	2215	750
747	2217	747
748	2219	743
749	2221	740
750	2223	737
751	2225	734
752	2228	730
753	2230	727
754	2233	724
755	2236	721
756	2241	719
757	2247	717
758	2250	714
759	2252	711
760	2254	707
761	2257	704
762	2260	702
763	2262	698
764	2264	695
765	2266	692
766	2268	689
767	2270	685
768	2272	682
769	2274	679
770	2276	676
771	2278	673
772	2281	669
773	2284	667
774	2286	663
775	2288	660
776	2291	657
777	2294	654
778	2296	651
779	2298	648
780	2301	645
781	2304	642
782	2307	639
783	2309	636
784	2311	633
785	2314	630
786	2316	626
787	2318	623
788	2320	620
789	2322	617
790	2324	614
791	2326	611
792	2328	607
793	2331	604
794	2334	601
795	2337	599
796	2340	596
797	2364	598
798	2369	596
799	2373	593
800	2377	590
801	2390	590
802	2434	597
803	2463	600
804	2465	597
805	2467	594
806	2470	590
807	2472	587
808	2474	584
809	2476	580
810	2479	577
811	2481	574
812	2484	571
813	2486	568
814	2489	565
815	2491	561
816	2494	558
817	2496	555
818	2500	552
819	2502	549
820	2504	546
821	2507	542
822	2510	539
823	2512	536
824	2515	533
825	2519	530
826	2523	527
827	2525	524
828	2531	522
829	2533	518
830	2535	515
831	2538	512
832	2540	509
833	2543	506
834	2545	503
835	2547	499
836	2550	496
837	2552	493
838	2554	490
839	2557	487
840	2559	483
841	2561	480
842	2564	477
843	2566	474
844	2568	471
845	2570	467
846	2572	464
847	2574	461
848	2576	458
849	2578	455
850	2581	451
851	2584	448
852	2586	445
853	2589	442
854	2591	439
855	2593	436
856	2596	433
857	2598	430
858	2601	426
859	2604	423
860	2606	420
861	2608	417
862	2610	414
863	2612	411
864	2614	408
865	2616	404
866	2618	401
867	2620	398
868	2623	395
869	2626	392
870	2629	389
871	2632	386
872	2634	383
873	2636	380
874	2639	377
875	2641	373
876	2643	370
877	2646	367
878	2648	364
879	2651	361
880	2653	358
881	2655	355
882	2657	352
883	2659	349
884	2662	345
885	2664	342
886	2666	339
887	2668	336
888	2670	333
889	2673	330
890	2675	327
891	2677	324
892	2679	321
893	2682	318
894	2684	314
895	2686	311
896	2689	308
897	2693	305
898	2696	302
899	2698	299
900	2700	296
901	2702	293
902	2704	290
903	2706	287
904	2708	284
905	2710	281
906	2712	278
907	2714	275
908	2716	271
909	2718	268
910	2721	265
911	2724	262
912	2728	259
913	2731	256
914	2734	254
915	2738	251
916	2742	248
917	2745	245
918	2748	242
919	2752	239
920	2755	236
921	2758	233
922	2761	230
923	2763	227
924	2766	224
925	2770	221
926	2774	218
927	2777	215
928	2780	212
929	2784	209
930	2787	206
931	2791	203
932	2796	200
933	2800	197
934	2803	194
935	2807	191
936	2810	188
937	2813	185
938	2815	182
939	2819	179
940	2823	177
941	2827	174
942	2831	171
943	2834	168
944	2837	165
945	2841	162
946	2844	159
947	2847	156
948	2851	153
949	2853	150
950	2857	147
951	2859	144
952	2862	141
953	2865	138
954	2869	135
955	2872	132
956	2875	129
957	2879	126
958	2882	123
959	2886	120
960	2891	117
961	2894	114
962	2897	111
963	2899	108
964	2903	105
965	2905	102
966	2908	99
967	2911	96
968	2941	94
969	2947	91
970	2950	88
971	2955	85
972	2957	82
973	2959	79
974	2962	75
975	2965	72
976	2968	69
977	2971	66
978	2974	63
979	2977	60
980	2980	57
981	2983	54
982	2985	51
983	2989	48
984	2992	45
985	2995	42
986	2997	39
987	2999	36
988	3001	33
989	3003	30
990	3005	27
991	3007	24
992	3009	21
993	3011	18
994	3014	15
995	3017	12
996	3020	9
997	3023	6
998	3026	3
999	3028	0
