iter	RMSE
0	8.943927017
1	8.21634629
2	7.685301108
3	7.243269754
4	6.894104087
5	6.575837261
6	6.298080729
7	6.07825141
8	5.901441569
9	5.736120974
10	5.626545658
11	5.499840884
12	5.400977901
13	5.32080047
14	5.250209547
15	5.169529177
16	5.092417485
17	5.046512194
18	4.993475748
19	4.936491518
20	4.884803584
21	4.840907682
22	4.806309212
23	4.769156625
24	4.723202389
25	4.694343641
26	4.657592592
27	4.628749768
28	4.592209045
29	4.549785326
30	4.517136188
31	4.492481486
32	4.457869822
33	4.441106753
34	4.420770778
35	4.38630917
36	4.368485729
37	4.349097162
38	4.335977097
39	4.307305202
40	4.280902355
41	4.262977211
42	4.242206938
43	4.219891969
44	4.204985703
45	4.181369247
46	4.163149035
47	4.153065065
48	4.137134164
49	4.109811501
50	4.080847512
51	4.055339431
52	4.025429057
53	3.994903447
54	3.977214762
55	3.968240449
56	3.948904823
57	3.9369155
58	3.930699627
59	3.924225963
60	3.905791656
61	3.892826716
62	3.870109424
63	3.850168405
64	3.83202689
65	3.81149886
66	3.795945062
67	3.781654952
68	3.759870864
69	3.743527309
70	3.727795833
71	3.710103263
72	3.694624573
73	3.683074901
74	3.672592874
75	3.659957073
76	3.643067446
77	3.62567219
78	3.611451332
79	3.599684894
80	3.585200207
81	3.574651503
82	3.565370614
83	3.545903942
84	3.534696995
85	3.525677287
86	3.524780708
87	3.521629798
88	3.510353358
89	3.502484886
90	3.485640193
91	3.4768405
92	3.464959541
93	3.463373058
94	3.45346226
95	3.442362289
96	3.438048449
97	3.426260623
98	3.422267918
99	3.414732775
100	3.407720425
101	3.398963295
102	3.393799025
103	3.38764363
104	3.382751797
105	3.375246145
106	3.372804787
107	3.363044218
108	3.352866737
109	3.347638576
110	3.337702745
111	3.337357462
112	3.326468204
113	3.318863369
114	3.315858693
115	3.308482119
116	3.300567823
117	3.291642449
118	3.290354775
119	3.280761962
120	3.271104378
121	3.259882609
122	3.252867584
123	3.250346018
124	3.241651223
125	3.240626767
126	3.232215559
127	3.223752869
128	3.211572442
129	3.193431594
130	3.187705321
131	3.186785972
132	3.177815986
133	3.171917673
134	3.16488086
135	3.155811254
136	3.147593151
137	3.13370848
138	3.124834819
139	3.123617191
140	3.116154267
141	3.114005764
142	3.106971553
143	3.099181514
144	3.096278931
145	3.089512446
146	3.088794202
147	3.083359233
148	3.075307678
149	3.073789943
150	3.070571114
151	3.062460088
152	3.06083624
153	3.057154319
