iter	Passed	Remaining
0	69	69716
1	82	40950
2	93	31202
3	104	26024
4	115	23074
5	128	21295
6	138	19712
7	150	18682
8	161	17823
9	172	17060
10	184	16607
11	195	16130
12	205	15597
13	217	15308
14	228	14979
15	238	14656
16	250	14456
17	259	14178
18	270	13946
19	281	13797
20	292	13620
21	302	13459
22	315	13392
23	354	14418
24	369	14427
25	386	14495
26	400	14435
27	407	14150
28	417	13966
29	424	13711
30	432	13517
31	438	13275
32	446	13088
33	452	12867
34	460	12708
35	466	12496
36	472	12298
37	480	12155
38	485	11961
39	492	11825
40	498	11666
41	504	11501
42	511	11390
43	517	11249
44	524	11121
45	530	11010
46	536	10878
47	543	10776
48	549	10659
49	555	10546
50	563	10491
51	570	10395
52	578	10340
53	584	10242
54	591	10163
55	597	10072
56	603	9983
57	609	9905
58	615	9817
59	620	9728
60	627	9652
61	633	9582
62	639	9509
63	645	9443
64	651	9367
65	657	9304
66	664	9246
67	669	9182
68	675	9118
69	681	9060
70	688	9004
71	694	8950
72	700	8893
73	706	8834
74	712	8783
75	718	8732
76	723	8678
77	730	8631
78	739	8622
79	746	8582
80	753	8544
81	761	8523
82	767	8481
83	778	8484
84	784	8446
85	794	8441
86	800	8398
87	809	8394
88	816	8360
89	827	8362
90	833	8327
91	842	8319
92	849	8287
93	859	8280
94	865	8247
95	877	8259
96	882	8214
97	890	8194
98	896	8160
99	905	8151
100	911	8111
101	917	8076
102	925	8062
103	931	8025
104	944	8046
105	966	8149
106	991	8275
107	997	8242
108	1007	8239
109	1013	8203
110	1021	8180
111	1034	8204
112	1047	8226
113	1059	8235
114	1073	8262
115	1084	8264
116	1095	8266
117	1107	8276
118	1119	8291
119	1132	8304
120	1146	8326
121	1157	8329
122	1166	8317
123	1185	8372
124	1196	8372
125	1207	8377
126	1220	8392
127	1229	8377
128	1238	8360
129	1245	8338
130	1257	8344
131	1266	8328
132	1275	8317
133	1284	8300
134	1292	8279
135	1301	8269
136	1308	8242
137	1316	8224
138	1323	8198
139	1333	8194
140	1343	8184
141	1349	8155
142	1356	8127
143	1364	8108
144	1370	8081
145	1376	8053
146	1385	8039
147	1394	8026
148	1403	8016
149	1410	7994
150	1417	7968
151	1422	7937
152	1431	7923
153	1440	7911
154	1450	7906
155	1459	7893
156	1469	7891
157	1480	7887
158	1485	7859
159	1491	7830
160	1498	7806
161	1504	7782
162	1509	7752
163	1516	7729
164	1522	7703
165	1538	7730
166	1551	7737
167	1564	7749
168	1577	7758
169	1587	7748
170	1593	7725
171	1601	7711
172	1607	7683
173	1613	7658
174	1618	7632
175	1624	7603
176	1629	7576
177	1635	7553
178	1641	7527
179	1646	7502
180	1652	7477
181	1658	7452
182	1663	7426
183	1670	7407
184	1677	7387
185	1684	7371
186	1690	7347
187	1698	7335
188	1704	7315
189	1710	7294
190	1717	7275
191	1723	7252
192	1728	7229
193	1736	7212
194	1742	7192
195	1749	7174
196	1754	7151
197	1760	7132
198	1768	7117
199	1774	7097
200	1780	7077
201	1786	7058
202	1792	7038
203	1800	7023
204	1805	7001
205	1811	6983
206	1818	6964
207	1824	6946
208	1831	6932
209	1836	6908
210	1843	6891
211	1850	6876
212	1855	6856
213	1862	6839
214	1871	6832
215	1880	6826
216	1886	6807
217	1892	6789
218	1900	6776
219	1906	6758
220	1911	6738
221	1917	6719
222	1923	6701
223	1929	6683
224	1935	6666
225	1941	6650
226	1947	6631
227	1952	6612
228	1958	6594
